2018-06-18 11:50:09,387 INFO   logging initialization
2018-06-18 11:50:09,388 INFO   https://api.schail.com/v1/concept/all-list
2018-06-18 11:50:20,276 INFO   Get WebPageData Len：125282
2018-06-18 11:50:20,947 INFO   Get BeautifulSoup Data Len：1
2018-06-18 11:50:20,950 INFO   网页获取数据长度： 60
2018-06-18 11:50:20,954 INFO   板块数量 60
2018-06-18 11:50:20,954 INFO   板块名称:DAG技术, 24H涨跌幅:-2.5867649092, 成交量:3720669173
2018-06-18 11:50:20,955 INFO        代币符号:GBYTE, 24H涨跌幅:-0.68, 成交量:86666577, 全称:字节雪球
2018-06-18 11:50:20,955 INFO        代币符号:ITC, 24H涨跌幅:-1.63751, 成交量:38230823, 全称:IoT Chain
2018-06-18 11:50:20,955 INFO        代币符号:MIOTA, 24H涨跌幅:-3.58, 成交量:3232704900, 全称:埃欧塔
2018-06-18 11:50:20,955 INFO        代币符号:NANO, 24H涨跌幅:0.08, 成交量:359793033, 全称:纳诺
2018-06-18 11:50:20,955 INFO        代币符号:TRF, 24H涨跌幅:-11.28, 成交量:3273840, 全称:Travelflex
2018-06-18 11:50:20,956 INFO   板块名称:Dapp平台, 24H涨跌幅:-3.0558335792, 成交量:439484454
2018-06-18 11:50:20,956 INFO        代币符号:APPC, 24H涨跌幅:-5.396553, 成交量:21782624, 全称:AppCoins
2018-06-18 11:50:20,957 INFO        代币符号:CENNZ, 24H涨跌幅:-3.36, 成交量:86551356, 全称:Centrality
2018-06-18 11:50:20,957 INFO        代币符号:HPB, 24H涨跌幅:-3.57, 成交量:69885541, 全称:High Performance Blockchain
2018-06-18 11:50:20,957 INFO        代币符号:SNT, 24H涨跌幅:-3.336203, 成交量:255152744, 全称:Status
2018-06-18 11:50:20,957 INFO        代币符号:SWT, 24H涨跌幅:5.506557, 成交量:6112189, 全称:Swarm City
2018-06-18 11:50:20,957 INFO   板块名称:交易协议, 24H涨跌幅:-4.0539986074, 成交量:979476841
2018-06-18 11:50:20,958 INFO        代币符号:ZRX, 24H涨跌幅:-6.020828, 成交量:444120462, 全称:0x协议
2018-06-18 11:50:20,958 INFO        代币符号:BNT, 24H涨跌幅:-2.098143, 成交量:165160457, 全称:Bancor
2018-06-18 11:50:20,958 INFO        代币符号:BCPT, 24H涨跌幅:-4.226773, 成交量:13287867, 全称:BlockMason Credit Protocol
2018-06-18 11:50:20,958 INFO        代币符号:KNC, 24H涨跌幅:-3.59, 成交量:129929515, 全称:Kyber Network
2018-06-18 11:50:20,958 INFO        代币符号:LRC, 24H涨跌幅:-3.61, 成交量:208598219, 全称:路印协议
2018-06-18 11:50:20,959 INFO        代币符号:MOBI, 24H涨跌幅:-2.96, 成交量:18380321, 全称:Mobius
2018-06-18 11:50:20,959 INFO   板块名称:交易所, 24H涨跌幅:-1.6403490754, 成交量:5728051962
2018-06-18 11:50:20,959 INFO        代币符号:ZRX, 24H涨跌幅:-6.020828, 成交量:444120462, 全称:0x协议
2018-06-18 11:50:20,959 INFO        代币符号:AST, 24H涨跌幅:-1.69, 成交量:28161150, 全称:AirSwap
2018-06-18 11:50:20,959 INFO        代币符号:B2B, 24H涨跌幅:0.82, 成交量:4235127, 全称:B2BX
2018-06-18 11:50:20,959 INFO        代币符号:BNT, 24H涨跌幅:-2.098143, 成交量:165160457, 全称:Bancor
2018-06-18 11:50:20,959 INFO        代币符号:BIX, 24H涨跌幅:-9.24, 成交量:115629191, 全称:Bibox Token
2018-06-18 11:50:20,959 INFO        代币符号:BNB, 24H涨跌幅:3.394321, 成交量:1900760395, 全称:币安币
2018-06-18 11:50:20,959 INFO        代币符号:BTS, 24H涨跌幅:-2.676723, 成交量:417646630, 全称:比特股
2018-06-18 11:50:20,960 INFO        代币符号:BPT, 24H涨跌幅:2.32, 成交量:9254490, 全称:Blockport
2018-06-18 11:50:20,960 INFO        代币符号:BLN, 24H涨跌幅:0, 成交量:51603, 全称:Bolenum
2018-06-18 11:50:20,960 INFO        代币符号:BCO, 24H涨跌幅:-2.11, 成交量:33996510, 全称:BridgeCoin
2018-06-18 11:50:20,960 INFO        代币符号:CAG, 24H涨跌幅:0.97, 成交量:5177066, 全称:Change
2018-06-18 11:50:20,960 INFO        代币符号:COB, 24H涨跌幅:-0.94, 成交量:14666286, 全称:Cobinhood
2018-06-18 11:50:20,960 INFO        代币符号:COFI, 24H涨跌幅:-5.741008, 成交量:5176869, 全称:CoinFi
2018-06-18 11:50:20,960 INFO        代币符号:COSS, 24H涨跌幅:-2.16, 成交量:17113007, 全称:COSS
2018-06-18 11:50:20,960 INFO        代币符号:CPU, 24H涨跌幅:5.24, 成交量:2412376, 全称:CPU
2018-06-18 11:50:20,961 INFO        代币符号:DB, 24H涨跌幅:-0.54, 成交量:78000000, 全称:得币
2018-06-18 11:50:20,961 INFO        代币符号:DEW, 24H涨跌幅:0, 成交量:51757630, 全称:DEW
2018-06-18 11:50:20,961 INFO        代币符号:DIM, 24H涨跌幅:-0.77, 成交量:13628944, 全称:DIMCOIN
2018-06-18 11:50:20,961 INFO        代币符号:DOT, 24H涨跌幅:-5.97, 成交量:4822188, 全称:Dotcoin
2018-06-18 11:50:20,961 INFO        代币符号:DTR, 24H涨跌幅:-3.44, 成交量:47366468, 全称:Dynamic Trading Rights
